ville,abbr,pays,latitude,longitude,timestamp_utc,date_utc,heure_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Paris,PAR,FR,48.8566,2.3522,2025-08-06T08:00:00Z,2025-08-06,08:00,1,129.11,0.96,4.75,52.2,0.74,3.37,7.67,4.08
Paris,PAR,FR,48.8566,2.3522,2025-08-06T09:00:00Z,2025-08-06,09:00,1,126.36,1.13,3.81,56.8,0.72,3.4,7.53,4.26
Paris,PAR,FR,48.8566,2.3522,2025-08-06T10:00:00Z,2025-08-06,10:00,2,116.67,0.38,1.49,78.14,0.52,2.81,6.11,2.67
Paris,PAR,FR,48.8566,2.3522,2025-08-06T11:00:00Z,2025-08-06,11:00,2,112.37,0.18,0.72,85.36,0.4,2.7,5.57,2.18
Paris,PAR,FR,48.8566,2.3522,2025-08-06T12:00:00Z,2025-08-06,12:00,2,110.16,0.13,0.54,88.12,0.35,2.82,5.53,2.12
Paris,PAR,FR,48.8566,2.3522,2025-08-06T13:00:00Z,2025-08-06,13:00,2,110.09,0.12,0.49,91.07,0.32,2.97,5.6,2.13
Paris,PAR,FR,48.8566,2.3522,2025-08-06T14:00:00Z,2025-08-06,14:00,2,108.92,0.11,0.49,92.52,0.3,3.01,5.51,2.11
Paris,PAR,FR,48.8566,2.3522,2025-08-06T15:00:00Z,2025-08-06,15:00,2,108.02,0.11,0.56,93.65,0.28,3.0,5.38,2.12
Paris,PAR,FR,48.8566,2.3522,2025-08-06T16:00:00Z,2025-08-06,16:00,2,109.1,0.12,0.66,96.17,0.29,3.04,5.39,2.2
Paris,PAR,FR,48.8566,2.3522,2025-08-06T17:00:00Z,2025-08-06,17:00,2,109.49,0.11,0.78,97.35,0.31,3.11,5.51,2.39
Paris,PAR,FR,48.8566,2.3522,2025-08-06T18:00:00Z,2025-08-06,18:00,2,110.16,0.07,0.93,97.23,0.32,3.1,5.55,2.62
Paris,PAR,FR,48.8566,2.3522,2025-08-06T19:00:00Z,2025-08-06,19:00,2,111.41,0.03,1.51,91.23,0.33,3.13,5.62,3.4
Paris,PAR,FR,48.8566,2.3522,2025-08-06T20:00:00Z,2025-08-06,20:00,2,113.88,0.0,2.27,82.0,0.33,3.24,5.78,4.57
Paris,PAR,FR,48.8566,2.3522,2025-08-06T21:00:00Z,2025-08-06,21:00,2,116.72,0.0,2.91,74.69,0.31,3.32,5.87,5.48
Paris,PAR,FR,48.8566,2.3522,2025-08-06T22:00:00Z,2025-08-06,22:00,2,117.05,0.0,3.18,68.1,0.27,3.27,5.71,6.1
Paris,PAR,FR,48.8566,2.3522,2025-08-06T23:00:00Z,2025-08-06,23:00,2,118.28,0.0,3.04,63.26,0.23,3.2,5.5,6.57
Paris,PAR,FR,48.8566,2.3522,2025-08-07T00:00:00Z,2025-08-07,00:00,1,119.07,0.0,2.69,59.33,0.21,3.12,5.27,6.87
Paris,PAR,FR,48.8566,2.3522,2025-08-07T01:00:00Z,2025-08-07,01:00,1,117.74,0.0,2.44,51.82,0.15,3.08,5.08,7.13
Paris,PAR,FR,48.8566,2.3522,2025-08-07T02:00:00Z,2025-08-07,02:00,1,116.83,0.0,2.37,42.88,0.09,3.09,5.01,6.63
Paris,PAR,FR,48.8566,2.3522,2025-08-07T03:00:00Z,2025-08-07,03:00,1,115.36,0.0,2.36,35.99,0.07,3.12,5.03,5.24
Paris,PAR,FR,48.8566,2.3522,2025-08-07T04:00:00Z,2025-08-07,04:00,1,112.65,0.0,2.52,30.09,0.06,3.13,5.03,4.65
Paris,PAR,FR,48.8566,2.3522,2025-08-07T05:00:00Z,2025-08-07,05:00,1,112.49,0.02,3.59,24.34,0.07,3.22,5.15,3.85
Paris,PAR,FR,48.8566,2.3522,2025-08-07T06:00:00Z,2025-08-07,06:00,1,114.15,0.54,5.19,19.23,0.09,3.39,5.34,3.42
Paris,PAR,FR,48.8566,2.3522,2025-08-07T07:00:00Z,2025-08-07,07:00,1,115.25,2.25,4.52,18.3,0.1,3.49,5.44,3.93
Paris,PAR,FR,48.8566,2.3522,2025-08-07T08:00:00Z,2025-08-07,08:00,1,114.31,3.28,3.71,19.4,0.12,3.51,5.45,5.21
Paris,PAR,FR,48.8566,2.3522,2025-08-07T09:00:00Z,2025-08-07,09:00,1,112.47,3.3,3.5,23.53,0.13,3.56,5.5,5.66
